SOLVER;MONTH;PLANET;RELATIVE P. ERROR;RELATIVE V. ERROR;R.P.E. NORM;R.V.E. NORM
Rk+;7;SUN;(-0.003357168675832214,0.007304927564061299,0.004293729078752329);(-0.0356887705129683,-0.06329258663773649,0.018369221177955197);0.009114200877525956;0.07494710235030659
Rk+;7;MERCURY;(5.468666314003586,1.6572292039234853,0.6333812164570503);(-1.274761658857023,2.888373668254882,1.6409497054967652);5.749251399409757;3.558150596915481
Rk+;7;VENUS;(-3.105309415775087,0.9926578544541457,2.706875121853396);(-0.8849555458787622,-1.9867589511791408,0.5646246956956652);4.237391781393332;2.2470332652770053
Rk+;7;EARTH;(0.7717973166530949,1.8211945876426028,0.664656868932002);(-1.48773154517779,0.21158274450317335,-1.0408634805955734);2.0866694940670696;1.8279795385961302
Rk+;7;MOON;(0.7654165950861813,1.8232399698511437,-3.4275289018550996);(-1.5018118773967868,0.2592400071786272,1.8450035075146094);3.95702172406826;2.393048733133792
Rk+;7;MARS;(0.4245701480906445,0.5516913711758324,-1.5112895832894466);(-1.093736291111405,0.06442791494512813,0.4528450724042949);1.663916880207293;1.185528865240809
Rk+;7;JUPITER;(0.00544105600703715,-0.009218076329027783,-0.003476049182987994);(0.02453795186081352,0.08739453867987881,-0.01203288585524093);0.011254374243024303;0.09156804472411592
Rk+;7;SATURN;(9.911430106680067E-4,-0.0011815372347665925,-5.227327133933891E-4);(0.011363264638536338,0.032222520799468815,-0.0016963681099608661);0.0016283869915924597;0.0342095351427362
Rk+;7;TITAN;(4.128855511768803E-4,-0.0010870109227167936,-0.002511781814454801);(0.1941692697199655,0.2759886768862091,0.002321557725025683);0.0027678719457196904;0.3374564337855417
Rk+;7;URANUS;(1.4695036096939643E-4,1.411835082179586E-4,-1.761357641943903E-4);(-0.00859171725638785,0.005652635112546813,0.003293216288294287);2.693529264925632E-4;0.010798850061501766
Rk+;7;NEPTUNE;(2.5914782668257068E-5,-4.795682561809206E-5,-4.245675886258621E-5);(0.0038933949430331517,1.4315264478418615E-4,-0.005120900308768477);6.909420711769462E-5;0.006434488078665614
