SOLVER;MONTH;PLANET;RELATIVE P. ERROR;RELATIVE V. ERROR;R.P.E. NORM;R.V.E. NORM
Rk+;5;SUN;(-0.0012924456140875119,0.0039371956927159776,0.001781651321108341);(-0.022679722022330262,-0.06767646837291554,0.015976850686992804);0.004510677002194059;0.07314187528574087
Rk+;5;MERCURY;(-2.0061811698914265,-1.748830607143596,2.264164826241076);(2.3069181883527787,-1.9747304895882143,-2.0435352927563626);3.4942257710824087;3.6602552543508504
Rk+;5;VENUS;(0.32994839048116126,2.7621535987430565,-0.9534781437376783);(-1.8444808069611511,0.4427375627462733,1.4916984376682965);2.9406596222643273;2.4131494412192143
Rk+;5;EARTH;(0.10111138127078988,-1.902433951274391,0.3326729919547331);(0.9244221881870861,0.6167592005306602,-0.0354478840646617);1.9339466822950662;1.111847492211266
Rk+;5;MOON;(0.09936649380981841,-1.8925187244700135,-0.9720233235485197);(0.8168029274882501,0.6026306620805625,-1.079606261012375);2.129866231499991;1.4818503352397479
Rk+;5;MARS;(0.11933971186660662,-2.130892944362518,-0.2711779743805583);(2.0513533070204018,0.20163583466080737,0.598596104861778);2.151391224522288;2.146398075101306
Rk+;5;JUPITER;(0.0029829045078882243,-0.004470598571636706,-0.0017872811025148971);(0.014805426215148713,0.07296331560298235,-0.006204180046788211);0.005663774768765696;0.07470835240617735
Rk+;5;SATURN;(5.228121868243817E-4,-5.943339010525959E-4,-3.005797433951207E-4);(0.0077077053914258314,0.024425917905964892,-0.0014628139749311262);8.467074765064767E-4;0.02565490231271998
Rk+;5;TITAN;(3.06218313314837E-4,-8.816096838772496E-4,-0.04007102597529555);(0.1271495327352229,0.29066488702788257,-0.7351985245142039);0.04008189276971493;0.8007308853001611
Rk+;5;URANUS;(7.419322251021727E-5,7.291252711662899E-5,-9.547497117806738E-5);(-0.006226611875011249,0.003969887951422874,0.004675684853028487);1.4119610829777343E-4;0.008740293738411977
Rk+;5;NEPTUNE;(2.712284679845912E-5,-4.189177394165153E-5,-3.8588728590099836E-5);(0.0022910712757343568,9.447571402417889E-5,-0.0019030927314674314);6.308454261252519E-5;0.0029798817418816475
