SOLVER;MONTH;PLANET;RELATIVE P. ERROR;RELATIVE V. ERROR;R.P.E. NORM;R.V.E. NORM
Rk+;4;SUN;(-5.478753455153315E-4,0.002469437825975288,4.070245138127583E-4);(-0.013974964781132528,-0.06622668466501354,0.015421363483868486);0.002562022545846467;0.06941967915551488
Rk+;4;MERCURY;(0.7370925839522504,2.9260729234075242,-21.491985344336594);(-1.8704025684791228,0.7760927997331831,1.4092774670526793);21.70277959782099;2.4671418242803567
Rk+;4;VENUS;(0.4096418272852449,-4.434069713864449,-0.13692168124989582);(1.7693406259174966,0.8082037099745681,-41.487920821920774);4.4550564756092434;41.53349652525424
Rk+;4;EARTH;(0.29035736771004184,-0.5021971529711898,0.17421580934049116);(0.04469706363447861,0.7893346605098088,2.9856085579110405);0.6056901267645325;3.0885118576510795
Rk+;4;MOON;(0.2898133920462263,-0.49453463877793546,0.07723915874109975);(0.04745003865429113,0.7864588856727348,-2.1158696569087265);0.5783789404910897;2.257802801408694
Rk+;4;MARS;(0.05520589658186466,-0.3202605417841602,-0.130691504181192);(0.34351531431630355,0.21555704082969723,0.9051485482265619);0.3502781393499084;0.9918475202256328
Rk+;4;JUPITER;(0.0019982503318453464,-0.002778217422044764,-0.0011391830766706763);(0.010596515628630527,0.06384592013915852,-0.004312577205361316);0.0036068316449546075;0.06486282436061369
Rk+;4;SATURN;(3.3864137417802823E-4,-3.7538403735595083E-4,-1.7108640520979314E-4);(0.006187322228561593,0.01991832737318168,-0.0027473468252500613);5.337243800450255E-4;0.021037362864282743
Rk+;4;TITAN;(0.0020892715249801654,-8.87230810494031E-4,-0.1280227886203148);(0.6362009070715002,0.7855003451083875,-1.7244795880203287);0.12804290937079643;1.9988977552198006
Rk+;4;URANUS;(4.678832258917708E-5,4.66369346455219E-5,-6.133983389131919E-5);(-0.005092099086814853,0.0031204566274529106,0.004702532079193322);9.01483556458697E-5;0.007601350579311398
Rk+;4;NEPTUNE;(2.512956687457152E-5,-3.6454730476986354E-5,-3.537927382198011E-5);(0.004029782769547483,3.4686719467214526E-4,-0.00286139241675667);5.667570486217112E-5;0.004954496198722336
