SOLVER;MONTH;PLANET;RELATIVE P. ERROR;RELATIVE V. ERROR;R.P.E. NORM;R.V.E. NORM
Rk+;2;SUN;(-5.4080996675032975E-5,5.13172913119731E-4,3.907594485151058E-4);(-8.8200846229382E-4,-0.035546497474819916,0.004646446116585661);6.472743927925665E-4;0.03585973902818132
Rk+;2;MERCURY;(-0.6438706768746276,-7.6764847151807345,0.5103198037907741);(-22.82324090433873,-0.7622997380964038,-1.7773947104333143);7.7203246909105765;22.905033469193157
Rk+;2;VENUS;(-0.7579518857737443,-0.07183906409849222,1.8908814529160265);(0.3361395873056971,-0.6445645741131519,-0.2524190219415303);2.038402458117716;0.7695249671021935
Rk+;2;EARTH;(-0.2409927937157958,-0.05884246509355553,0.06454989574565242);(0.15139979698171388,-0.45057787906768604,0.8087601538432091);0.2563330867484824;0.9381019721094982
Rk+;2;MOON;(-0.4519793208139642,-0.5545777590675829,0.9042038251594651);(0.13209198770323566,-0.30256887280087447,-3.7643611203286413);1.1530075258769488;3.7788107732784515
Rk+;2;MARS;(0.004168429475142928,-0.03592318063165575,-0.024151287413857143);(0.021078666149236334,0.20745959856036014,-0.23683445874289852);0.04348718655800282;0.31555404616245764
Rk+;2;JUPITER;(5.89626465886969E-4,-6.679205002183837E-4,-2.602005863139033E-4);(0.004605915990857876,0.039063672069265636,-0.0010511976100136312);9.281602819580419E-4;0.039348315771647234
Rk+;2;SATURN;(8.825233402881177E-5,-9.220042567130263E-5,-1.2581252171440054E-4);(0.0026965305707687473,0.010472403570306493,-0.0018833172383744626);1.7921546689847635E-4;0.010976766257820061
Rk+;2;TITAN;(0.002430931269546128,-0.001239819741959541,-0.25187132000952356);(0.5311102953032469,0.6460112972501337,-0.9091488640994433);0.25188610208419526;1.235297696527121
Rk+;2;URANUS;(1.1334924640282165E-5,1.1841940732453403E-5,-1.995599482392886E-5);(-0.002545674986799097,0.0015471134895186536,5.055929240745151E-4);2.5825448811675864E-5;0.0030215303229885657
Rk+;2;NEPTUNE;(1.6030315805595607E-5,-2.097787616793E-5,-2.1344399544116377E-5);(0.010448106206793996,6.365650233167975E-4,-0.007265219503437525);3.395034175443612E-5;0.012741724874226666
