SOLVER;MONTH;PLANET;RELATIVE P. ERROR;RELATIVE V. ERROR;R.P.E. NORM;R.V.E. NORM
Rk+;1;SUN;(-1.4008334020096813E-5,1.1818091520260521E-4,4.483481806980462E-5);(-6.590357811612295E-4,-0.017864888821566144,5.100604441997163E-4);1.2717359415970143E-4;0.017884315542522365
Rk+;1;MERCURY;(0.36839677462471393,0.7309941174805796,-1.0228290820998234);(-0.8516415814220918,0.09305261860764732,0.39652150690651927);1.3100564547126474;0.9440240878686722
Rk+;1;VENUS;(-0.06534040041988345,-0.0382539080303596,0.07507934623746255);(0.4940248548605331,-0.003917135047390586,-0.2929914706378714);0.10662850293458452;0.5743865449620952
Rk+;1;EARTH;(-0.027547558938409107,-0.012824259052693446,0.07285554611041822);(0.12668766288997813,-0.05486494527372019,1.494398956575811);0.07893833177083862;1.5007625287044202
Rk+;1;MOON;(-0.021010159897607846,-0.017307536154152998,1.9020630416749542);(0.08921397955064793,-0.01141540561243835,1.0544569063719005);1.9022578143176148;1.0582857898639473
Rk+;1;MARS;(0.0033053231626769177,-0.007354316500310417,-0.005859863715214183);(4.304142656605348E-4,0.2280405239898981,-0.05125489913211952);0.00996740363170622;0.2337300376996314
Rk+;1;JUPITER;(1.694026183921839E-4,-1.5801615665672606E-4,-2.325773491796573E-5);(0.0020108580366928583,0.022158384562086412,-5.26850675508855E-4);2.328245586621077E-4;0.02225567631143403
Rk+;1;SATURN;(2.2559229996828574E-5,-2.215397038218988E-5,-5.686921811013997E-5);(0.001311857112993244,0.005034340039180204,-0.0026202347455323615);6.506785097268412E-5;0.00582504753943682
Rk+;1;TITAN;(0.004001387293596591,-1.7204849643767277E-4,-0.12498682279350785);(0.18289228088049275,0.9412718805438678,-1.6251318712068141);0.12505097589772826;1.8869276452266048
Rk+;1;URANUS;(2.607380251880219E-6,2.907430724316389E-6,-8.296342811805381E-6);(-0.0011786265067072073,7.60028988415904E-4,0.004332632430658035);9.16956319818936E-6;0.004553955235258147
Rk+;1;NEPTUNE;(8.737780391014816E-6,-1.0994891529002292E-5,-1.0944261194726742E-5);(0.013330437081733646,5.385633730791113E-4,-0.001961068268467533);1.7804867283822447E-5;0.013484672485843773
