MONTH, PLANET, RELATIVE_POSITION ERROR, RELATIVE_VELOCITY ERROR, RELATIVE_POSITION_ERROR_NORM, RELATIVE_VELOCITY_ERROR_NORM
0, SUN, (-0.0,0.0,0.0), (-0.0,-0.0,0.0), 0.0, 0.0
0, MERCURY, (0.0,-0.0,-0.0), (0.0,0.0,-0.0), 0.0, 0.0
0, VENUS, (-0.0,0.0,0.0), (-0.0,-0.0,0.0), 0.0, 0.0
0, EARTH, (-0.0,-0.0,0.0), (0.0,-0.0,0.0), 0.0, 0.0
0, MOON, (-0.0,-0.0,0.0), (0.0,-0.0,0.0), 0.0, 0.0
0, MARS, (-0.0,-0.0,-0.0), (0.0,-0.0,-0.0), 0.0, 0.0
0, JUPITER, (0.0,-0.0,-0.0), (0.0,0.0,-0.0), 0.0, 0.0
0, SATURN, (0.0,-0.0,-0.0), (0.0,0.0,-0.0), 0.0, 0.0
0, TITAN, (0.0,-0.0,-0.0), (0.0,0.0,-0.0), 0.0, 0.0
0, URANUS, (0.0,0.0,-0.0), (-0.0,0.0,0.0), 0.0, 0.0
0, NEPTUNE, (0.0,-0.0,-0.0), (0.0,0.0,-0.0), 0.0, 0.0
1, SUN, (-7.749566939135629E-8,1.5476549209399925E-7,1.239569033824679E-7), (-3.000594963935229E-6,-2.273233021758488E-5,1.793630842322841E-6), 2.1289257904793823E-7, 2.2999554753460943E-5
1, MERCURY, (3.269037708079219E-5,5.2107763871237735E-5,-8.292599483527934E-5), (-7.917167058816259E-5,5.830386380733105E-7,3.1319408454005396E-5), 1.0325018367424742E-4, 8.514340082286377E-5
1, VENUS, (-4.970678493506395E-6,-2.7881664370272266E-6,5.701400546137343E-6), (3.824227692137347E-5,-7.628541180507553E-8,-2.2589764378849072E-5), 8.061481560722403E-6, 4.441593203217722E-5
1, EARTH, (-1.9348195588592795E-6,-9.360590196950852E-7,9.155616213503787E-5), (9.536628887545945E-6,-4.065504033108221E-6,3.387522219565795E-4), 9.158138761839679E-5, 3.389108193818865E-4
1, MOON, (-2.6416742240867926E-6,-1.8413842711157209E-6,1.6787659047975417E-4), (2.8279550454618135E-6,-1.5131952714410943E-5,3.30652518286516E-4), 1.679074708577531E-4, 3.3101066625096105E-4
1, MARS, (2.2820227467279891E-7,-5.49955625859217E-7,-4.439364669513621E-7), (2.7145137841475627E-8,1.7083441151905576E-5,-3.816750216605767E-6), 7.427025348477683E-7, 1.7504635976366077E-5
1, JUPITER, (2.658080224172566E-5,-2.269095546919695E-6,-8.603758366455448E-5), (8.495680688222703E-5,9.656910809047206E-5,-9.644867776927382E-6), 9.007859704308228E-5, 1.2898168531790748E-4
1, SATURN, (8.073325279021624E-8,-4.4188192490391584E-8,-7.346706496564038E-6), (8.80479704344497E-6,8.997979753368654E-6,-2.6729586171638122E-5), 7.347282953658304E-6, 2.9545877335515312E-5
1, TITAN, (1.0740360181252129E-6,-1.0173373132142713E-6,-2.168461456576841E-4), (0.0012512543195467567,2.98122558961467E-4,-8.067845471989479E-4), 2.1685119186937995E-4, 0.0015183595548963894
1, URANUS, (2.584567174744447E-7,6.544394807634436E-8,-5.424366006308652E-6), (-1.1051758484735109E-4,1.2031751100438722E-5,0.0035873231934447783), 5.430914228336179E-6, 0.0035890453596773998
1, NEPTUNE, (9.565960019803124E-6,-1.1831762664239402E-5,-1.1770488933866597E-5), (0.015996533220468696,6.462765537175964E-4,-0.002353283088354337), 1.9236491587231733E-5, 0.016181615795444478
